Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:18:59.639242Z,3.5088376853924665,24.619,46554751.28629319,92611397.27336128,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:19:24.368350Z,3.5088376853924665,21.341,48181605.806203246,90364841.38259259,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:19:46.202080Z,3.5088376853924665,21.163,48249483.749510475,90067224.4065136,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:20:12.105949Z,3.5088376853924665,21.25,43416617.21504694,90080133.46810569,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:20:34.303779Z,3.5088376853924665,21.077,46151991.82698506,91358497.94960046,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:20:57.102589Z,3.5088376853924665,21.375,48287796.21839218,89929683.58447872,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:21:19.868574Z,3.5088376853924665,21.13,48107098.685226016,93710484.834917,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:21:44.850497Z,3.5088376853924665,21.159,48394722.08806162,93478318.2360456,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:22:07.297719Z,3.5088376853924665,21.168,48264360.66755819,76718632.04993047,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:22:28.788295Z,3.5088376853924665,21.256,48272970.431717105,94662875.5734798,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:22:50.948348Z,3.5088376853924665,21.933,48366681.470016256,60396259.241418906,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:23:12.491452Z,3.5088376853924665,21.576,43877083.15140929,94538204.76894772,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:23:34.751918Z,3.5088376853924665,22.244,46399456.127544165,94113204.06883362,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:23:57.356137Z,3.5088376853924665,22.009,48255237.293395616,91862332.81112094,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:24:19.690471Z,3.5088376853924665,354.557,48195121.50760495,92616455.5874338,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:24:43.189712Z,3.5088376853924665,23.253,46869398.20931073,92790197.66038513,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:25:05.580904Z,3.5088376853924665,24.517,48324130.89393836,90678707.89127779,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:25:28.199776Z,3.5088376853924665,20.887,48269794.33853539,91838450.6680451,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:25:50.333040Z,3.5088376853924665,20.902,48036027.890733786,92322623.25977139,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:26:12.953355Z,3.5088376853924665,21.041,48313630.47584093,91994991.87226048,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:26:34.985951Z,3.5088376853924665,21.155,48357654.71105444,91834741.48381214,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:26:56.565587Z,3.5088376853924665,21.317,46407043.19713826,93444238.94564325,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:27:18.534851Z,3.5088376853924665,21.439,43566956.274252646,92066549.57582985,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:27:40.081396Z,3.5088376853924665,21.21,48235155.364328,93340727.24460773,,213.164.24.3
5351,UPC,Vienna,2018-02-27T00:28:01.603258Z,3.5088376853924665,21.134,46277979.048600964,93256469.69041543,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:28:23.692677Z,3.5088376853924665,21.82,46715682.805462606,94182816.0799366,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:28:45.574954Z,3.5088376853924665,663.084,48293830.26328577,92480495.00918233,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:29:11.063646Z,3.5088376853924665,21.644,41415647.94106668,91934365.7777227,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:29:33.600467Z,3.5088376853924665,22.216,48206384.738953955,93879523.86010414,,213.164.24.3
1738,www.drei.at,Vienna,2018-02-27T00:29:55.265724Z,3.5088376853924665,21.635,48207084.97618912,93044074.65997636,,213.164.24.3
6260,A1 Telekom Austria AG,Vienna,2018-02-27T00:30:17.054979Z,3.5088376853924665,24.539,46882207.74493812,92019943.14407885,,213.164.24.3
